id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,is_mature,follow_count,total_views
40666627643,99422402,agustin51,agustin51,33214,Fortnite,live,"Un día más, la misma mierda 😎🤠",6270,2022-03-28T13:09:52Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_agustin51-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],FALSE,297504,2120819
45994955149,102845970,kimdoe,김도,512708,Mahjong Soul,live,이택기 ~은탁에 춤추듯 내려온 천재~,6214,2022-03-28T08:00:01Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_kimdoe-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],TRUE,315648,66755824
45996395677,29518572,mobilmobil,老皮,498210,Dragon Quest Builders 2,live,【老皮】好忙,6084,2022-03-28T13:28:46Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_mobilmobil-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],TRUE,500737,136595181
39607205081,69616738,xth0rek,xth0rek,32982,Grand Theft Auto V,live,N OOOO WY JESTER  | bilety !premiera | [SUB 4zł !prime] !gvo !dc !zbiórka,6040,2022-03-28T12:16:37Z,pl,https://static-cdn.jtvnw.net/previews-ttv/live_user_xth0rek-{width}x{height}.jpg,['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b'],FALSE,234562,15157445
45985227533,181077473,gaules,Gaules,32399,Counter-Strike: Global Offensive,live,Rerun: Imperial Campeã da Europa! - Siga @Gaules nas redes sociais,6005,2022-03-27T11:03:54Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],TRUE,3352628,397322153
45995765629,31688366,symfuhny,Symfuhny,512710,Call of Duty: Warzone,live,WARZONE BEST GAME EVER OMG NO WAY POG POG!,5820,2022-03-28T11:36:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_symfuhny-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],TRUE,3549913,91663025
45996196445,102381201,ddahyoni,따효니,66082,Games + Demos,live,유튜브 광고나오는 폰겜 해보기,5724,2022-03-28T12:57:32Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_ddahyoni-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],FALSE,356449,80764129
45996975597,133528221,axozer,aXoZer,509658,Just Chatting,live,MUNDO PIXELMON DIA 2 + DYING LIGHT 2 PARKOUR,5598,2022-03-28T15:02:02Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_axozer-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],FALSE,1775195,27486276
45995592125,77573531,liminhag0d,liminhag0d,461449,Cities: Skylines,live,RIO DE LIMOEIRO,5387,2022-03-28T10:59:56Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_liminhag0d-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],TRUE,524526,24819990
45081890988,535682849,dwjft,dwjft,32982,Grand Theft Auto V,live,Dean Watson | nopixel wl | development | !current,5326,2022-03-28T14:57:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dwjft-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],TRUE,243180,9921226
45081869996,124403155,juliettearz,JulietteArz,511224,Apex Legends,live,On découvre la nouvelle légende Marvel !Morbius en jouant à Apex ! #ad,5317,2022-03-28T14:54:33Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_juliettearz-{width}x{height}.jpg,['6f655045-9989-4ef7-8f85-1edcec42d648'],FALSE,277792,11757998
45996484205,23844396,teepee,TeePee,512710,Call of Duty: Warzone,live,"Happy Monday! | !factor | 5.58 KD, 38% Win Rate, 550+ Caldera Wins | Code TEEP in COD Store #CODpartner | !guns | !tips |",5282,2022-03-28T13:43:40Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_teepee-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],TRUE,830828,48964754
45080992428,16064695,dhalucard,Dhalucard,500188,Hunt: Showdown,live,[GER 18+ / Tag 598] Hunt Showdown mit Juli und Trilluxe // 18' - Tiny Tinas Wonderland // 21' - Rustplatz Season 3 Talk [#Dauerwerbesendung],5274,2022-03-28T12:03:15Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_dhalucard-{width}x{height}.jpg,['9166ad14-41f1-4b04-a3b8-c8eb838c6be6'],TRUE,475969,42727383
45995613341,166079347,obm1025,오킹,21779,League of Legends,live,플7(진) 태생은 플레종자,5260,2022-03-28T11:03:12Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_obm1025-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],TRUE,689916,30864880
45995620333,48731544,ses836,인간젤리,1119642287,Yu-Gi-Oh! Master Duel,live,인간젤리 유희왕ON 매직콤보 갑니다.,5234,2022-03-28T11:04:43Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_ses836-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],FALSE,169561,30688599
45081366380,155642616,jrokezftw,JrokezFTW,370345,SpeedRunners,live,Hayallerim Paris dırıdıdıtdıdıı - insta:jrokez - !trendyol,5202,2022-03-28T13:24:28Z,tr,https://static-cdn.jtvnw.net/previews-ttv/live_user_jrokezftw-{width}x{height}.jpg,['f08d5873-f0c7-4912-94ba-a41933b4c141'],TRUE,598586,31269568
45080734524,126778132,winline_d2cl,winline_d2cl,29595,Dota 2,live,Gambit Esports 2 - 0 Cybercats | BO3 | Winline Dota 2 Champions League Season 8 | by EZH1K & Lost,5197,2022-03-28T10:49:12Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_winline_d2cl-{width}x{height}.jpg,"['36a89a80-4fcd-4b74-b3d2-2c6fd9b30c95', '0569b171-2a2b-476e-a596-5bdfb45a1327']",FALSE,243093,45504200
45081878620,231922983,drakeoffc,drakeoffc,509658,Just Chatting,live,😊ЖДУ ЛОХОВ ИЗ МОСКВЫ😊 !tg,5183,2022-03-28T14:55:44Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_drakeoffc-{width}x{height}.jpg,['0569b171-2a2b-476e-a596-5bdfb45a1327'],FALSE,124248,2792843
40666982971,64342766,trymacs,Trymacs,33214,Fortnite,live,20.000€ Noob + Pro Turnier von Eli x Amar!  2für1 Rabatt bei !levlup (Code: Trymacs2)  !tickets !podcast,5167,2022-03-28T15:46:48Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_trymacs-{width}x{height}.jpg,"['9166ad14-41f1-4b04-a3b8-c8eb838c6be6', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",FALSE,2930632,146059142
45996972253,30857876,folagorlives,FolagorLives,509658,Just Chatting,live,MUNDO PIXELMON 3 #2 | Suscríbete con Twitch Prime GRATIS,5155,2022-03-28T15:01:35Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_folagorlives-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],FALSE,1427212,46332165
